Wed Aug 26 14:44:09 2020    profile/one_dim.out

         4791189 function calls (4776247 primitive calls) in 5.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    244/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap_external>:777(exec_module)
    456/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.141    0.141 /home/mary/mypydmrg/dmrg/__init__.py:1(<module>)
    74617    0.081    0.000    0.141    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(ndim)
    11251    0.024    0.000    0.133    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:641(_get_intXint)
        6    0.001    0.000    0.126    0.021 /home/mary/mypydmrg/dmrg/dmrg_measure.py:12(measure_oper_of_site)
        8    0.005    0.001    0.121    0.015 /home/mary/mypydmrg/dmrg/dmrg_iter.py:189(get_phival_from_density_sector)
        4    0.006    0.002    0.117    0.029 /home/mary/mypydmrg/dmrghelpers/blockhelper.py:74(update_to_rightblock)
      336    0.005    0.000    0.113    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:494(_mul_sparse_matrix)
    10322    0.047    0.000    0.110    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1140(prune)
   363/33    0.000    0.000    0.108    0.003 {built-in method builtins.__import__}
    37601    0.022    0.000    0.104    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:354(_compatible_boolean_index)
      659    0.009    0.000    0.102    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/coo.py:372(tocsr)
      177    0.001    0.000    0.102    0.001 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:538(_mul_sparse_matrix)
    37780    0.042    0.000    0.100    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:91(to_native)
  308/105    0.001    0.000    0.100    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
