Mon Aug 17 08:21:21 2020    profile/ladder

         1163977 function calls (1161708 primitive calls) in 64.321 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      334    0.001    0.000    0.003    0.000 /usr/lib/python3.8/functools.py:33(update_wrapper)
     1627    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
    10463    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/basics/basis.py:278(dim)
      171    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     2293    0.001    0.000    0.142    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      286    0.001    0.000    0.005    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/overrides.py:72(verify_matching_signatures)
     2100    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(sum)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      368    0.001    0.000    0.002    0.000 /home/mary/mypydmrg/fermionic/block.py:238(idx_to_idxpair)
    174/5    0.001    0.000    0.197    0.039 <frozen importlib._bootstrap>:986(_find_and_load)
      131    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      469    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
   129/21    0.001    0.000    0.003    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
      316    0.001    0.000    0.030    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/overrides.py:166(decorator)
      284    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      673    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x8ff5e0}
      616    0.001    0.000    0.004    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/compat/_inspect.py:96(getargspec)
        3    0.001    0.000    0.007    0.002 /home/mary/mypydmrg/dmrg/nrg_iter.py:106(get_phival_from_hamleft)
      157    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      164    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      587    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
    164/7    0.001    0.000    0.196    0.028 <frozen importlib._bootstrap>:650(_load_unlocked)
     2120    0.001    0.000    0.001    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
     8444    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/basics/basis.py:74(iter_idx)
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      469    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
     2560    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/fermionic/superblock.py:57(rightblockextend)
     6332    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       15    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/dmrghelpers/operhelper.py:271(rightsite_extend_oper)
       28    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/dmrghelpers/operhelper.py:188(update_leftblockextend_oper)
        1    0.001    0.001    0.043    0.043 /home/mary/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:1(<module>)
        9    0.001    0.000    0.002    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
      274    0.001    0.000    0.004    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/function_base.py:451(add_newdoc)
     1744    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1584    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       54    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
   188/24    0.001    0.000    0.177    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     2049    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      150    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      228    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/fermionic/baseop.py:15(__init__)
   323/13    0.001    0.000    0.180    0.014 {built-in method builtins.__import__}
     3518    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       19    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       26    0.001    0.000    0.001    0.000 /home/mary/mypydmrg/basics/basis.py:94(__init__)
      963    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
      131    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
       16    0.000    0.000    0.001    0.000 /home/mary/mypydmrg/dmrghelpers/operhelper.py:287(update_rightblockextend_oper)
     1759    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:1466(_guarded_repr_or_str)
      295    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       52    0.000    0.000    0.001    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/ma/core.py:895(__init__)
      681    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
    131/7    0.000    0.000    0.195    0.028 <frozen importlib._bootstrap_external>:777(exec_module)
   160/52    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
  164/161    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      677    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
     1391    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      393    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       96    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/dmrg/storages.py:175(get_oper)
        1    0.000    0.000   64.125   64.125 examples/ladder_hubbard.py:10(main)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      133    0.000    0.000    0.009    0.000 /usr/lib/python3.8/re.py:287(_compile)
        1    0.000    0.000    0.001    0.001 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_methods.py:1(<module>)
       37    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/lattice/one_dim_ladder.py:49(get_t_coef)
       50    0.000    0.000    0.002    0.000 /home/mary/mypydmrg/fermionic/block.py:291(get_spin_sector)
      616    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/compat/_inspect.py:13(ismethod)
      304    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      150    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        7    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:31(update_leftblockextend_hamiltonian)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      152    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:135(_commonType)
      349    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      277    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/basics/operator.py:12(__init__)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      359    0.000    0.000    0.001    0.000 /usr/lib/python3.8/typing.py:759(__setattr__)
        1    0.000    0.000    0.003    0.003 /home/mary/.local/lib/python3.8/site-packages/numpy/ma/core.py:1(<module>)
      545    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
       50    0.000    0.000    0.001    0.000 /usr/lib/python3.8/typing.py:656(__init__)
        1    0.000    0.000    0.013    0.013 /home/mary/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1(<module>)
      211    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       26    0.000    0.000    0.001    0.000 /home/mary/mypydmrg/dmrghelpers/operhelper.py:98(leftblock_extend_oper)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
       16    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_type_aliases.py:78(bitname)
     1904    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/superblock.py:52(leftblockextend)
      281    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      616    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/compat/_inspect.py:26(isfunction)
     2100    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2100(_sum_dispatcher)
      612    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/compat/_inspect.py:41(iscode)
      174    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      274    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.015    0.005 /home/mary/mypydmrg/dmrg/nrg_iter.py:19(leftblock_to_next)
      328    0.000    0.000    0.000    0.000 /usr/lib/python3.8/functools.py:63(wraps)
      485    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
    59/21    0.000    0.000    0.005    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       49    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/baseop.py:65(__init__)
     1127    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.093    0.093 /home/mary/.local/lib/python3.8/site-packages/numpy/core/__init__.py:1(<module>)
